Year,Real GDP growth (Annual percent change)India,Real GDP growth (Annual percent change)World
1980,6.7,2.2
1981,6,2
1982,3.5,0.7
1983,7.3,2.7
1984,3.8,4.6
1985,5.3,3.7
1986,4.8,3.4
1987,4,3.9
1988,9.6,4.5
1989,5.9,3.7
1990,5.5,3.2
1991,1.1,2.4
1992,5.5,2.2
1993,4.8,1.9
1994,6.7,3.2
1995,7.6,3.3
1996,7.5,3.9
1997,4,4
1998,6.2,2.6
1999,8.8,3.6
2000,3.8,4.8
2001,4.8,2.5
2002,3.8,2.8
2003,7.9,3.8
2004,7.9,5.3
2005,7.9,4.7
2006,8.1,5.3
2007,7.7,5.3
2008,3.1,2.9
2009,7.9,-0.4
2010,8.5,5.2
2011,5.2,4
2012,5.5,3.3
2013,6.4,3.4
2014,7.4,3.5
2015,8,3.4
2016,8.3,3.3
2017,6.8,3.8
2018,6.5,3.6
2019,3.9,2.9
2020,-5.8,-2.7
2021,9.7,6.6
2022,7,3.6
2023,8.2,3.3
2024,7,3.2
